Date,Month,Day,Holiday,chan_1_1,chan_1_2,chan_1_3,chan_1_4,chan_1_5,chan_1_6,chan_1_7,chan_1_8,chan_1_9,chan_1_10,chan_1_11,chan_1_total,chan_2_1,chan_2_2,chan_2_total,chan_3_1,chan_3_2,chan_3_3,chan_3_4,chan_3_5,chan_3_6,chan_3_7,chan_3_8,chan_3_total,chan_4_1,chan_4_2,chan_4_3,chan_4_4,chan_4_5,chan_4_total,int_1,int_2,int_3,int_4,int_5,int_6,Target
1-Jan,Jan,Friday,1,0,0,24.51,0,0,0,0,39.02,0,50.35,43.27,157.15,0,0,0,0,0,0,0,0,0,9.88,5.71,15.59,9.6,0,0,0,0,9.6,0,2449.9685,1508.64,0,0,149.664,0
2-Jan,Jan,Saturday,0,0,0,83.71,0,0,0,0,41.3,4.88,43.17,55.3,228.36,0,0,0,0,0,19.7,0,0,0,4.89,0,4.89,10.44,0,0,0,0,10.44,0,1116.6804,2384.0784,0,0,51.0516,0
3-Jan,Jan,Sunday,0,0,0,55,0,0,0,0,40.09,0.97,42.02,77.82,215.9,0,0,0,0,0,1.79,0,0,0,1.61,4.09,5.7,10,0,0,0,0,10,0,1230.63,2159,0,0,57,1
4-Jan,Jan,Monday,0,7.19,0,55.55,0,0,0,0,36.64,7.53,41.32,96.89,245.12,0,0,0,0,0,4.03,0,0,2.66,6.61,5.59,14.86,11.42,0,0,0,0,11.42,0,3642.4832,2799.2704,0,0,169.7012,8
5-Jan,Jan,Tuesday,0,6.25,0,55.18,0,0,0,0,35.8,0.69,45.3,85.24,228.46,0,0,0,0,0.41,17.34,0,0,0,11.79,0.74,12.53,10.24,0,0,0,0,10.24,0,2862.6038,2339.4304,0,0,128.3072,3
6-Jan,Jan,Wednesday,0,0,0,55.05,0,0,0,0,37.07,1.93,45.09,94.6,233.74,0,0,0,0,0,10.05,0,0,1.46,12.6,4.26,18.32,11.79,0,0,0,0,11.79,0,4282.1168,2755.7946,0,0,215.9928,2
7-Jan,Jan,Thursday,0,0,0.38,49.19,0,0,0,0,38.31,20.78,39.98,84.84,233.48,0.01,0,0.01,0,0,10.14,0,0,0,6.21,0,6.21,14.76,0,0,0,0,14.76,2.3348,1449.9108,3446.1648,0.0621,0.1476,91.6596,5
8-Jan,Jan,Friday,0,0,6.82,51.14,0,0,0,0,37.15,3.11,39.67,78.98,216.87,0,0,0,0,0,5.48,0,0,0,8.74,4.4,13.14,15.17,0,0,0,0,15.17,0,2849.6718,3289.9179,0,0,199.3338,5
9-Jan,Jan,Saturday,0,0,3.36,48.98,0,0,0,0,37.4,0,41.32,17.81,148.87,0,0,0,0,0,0,0,0,0,6.05,4.99,11.04,14.88,0,0,0,0,14.88,0,1643.5248,2215.1856,0,0,164.2752,1
10-Jan,Jan,Sunday,0,4.62,0,47.75,0,0,0,0,33.67,0.62,39.66,78.68,205,0,0,0,0,0,1.77,0,0,0,3.84,0,3.84,14.55,0,0,0,0,14.55,0,787.2,2982.75,0,0,55.872,0
11-Jan,Jan,Monday,0,13.26,1.69,53.11,0,0,0,0,35.97,4.54,47.09,83.69,239.35,0,0,0,0,0,8.93,0,0,0,3.76,3.19,6.95,15.41,0,0,0,0,15.41,0,1663.4825,3688.3835,0,0,107.0995,9
12-Jan,Jan,Tuesday,0,1.88,0,51.78,0,0,0,0,36.68,7.04,45.26,69.93,212.57,0,0,0,0,2.35,8.44,0,0,0,6.09,4.57,10.66,14.94,0,0,0,0,14.94,0,2265.9962,3175.7958,0,0,159.2604,5
13-Jan,Jan,Wednesday,0,2.59,0,52.7,0,0,0,0,34.12,3.04,41.1,79.57,213.12,0,0,0,0,0,17.27,0,0,0,11.83,3.32,15.15,10.55,0,84.17,0,0,94.72,0,3228.768,20186.7264,0,0,1435.008,2
14-Jan,Jan,Thursday,0,1.68,0,51.31,84.78,0,0,0,37.01,1.63,38.44,72.84,287.69,0,0,0,0,0,6.19,0,0,0,6.04,4.37,10.41,10.49,0,84.31,0,0,94.8,0,2994.8529,27273.012,0,0,986.868,6
15-Jan,Jan,Friday,0,4.3,1.57,53.56,70.44,0,0,0,37.35,0.95,41.6,85.22,294.99,0,0,0,0,0,2.54,0,0,0,12.69,0,12.69,9.46,0,84.24,0,0,93.7,0,3743.4231,27640.563,0,0,1189.053,5
16-Jan,Jan,Saturday,0,0,0,44.2,71.4,0,0,0,37.85,0,36.69,75.17,265.31,0.01,0,0.01,0,0,11.59,0,0,0,4.81,2.37,7.18,9.33,0,84.84,0,0,94.17,2.6531,1904.9258,24984.2427,0.0718,0.9417,676.1406,1
17-Jan,Jan,Sunday,0,3.45,0,49.75,69.66,0,0,0,33.7,0,40.03,68.97,265.56,0,0,0,0,0,5.41,0,0,0,12.4,6.8,19.2,10.17,0,73.32,0,0,83.49,0,5098.752,22171.6044,0,0,1603.008,0
18-Jan,Jan,Monday,1,0,6.96,55.02,71.54,0,0,0,34.89,6.24,37.21,64.37,276.23,0,0,0,0,0,6.78,0,0,0,6.45,0,6.45,10.61,0,71.58,0,0,82.19,0,1781.6835,22703.3437,0,0,530.1255,6
19-Jan,Jan,Tuesday,0,5.23,0,49.54,136.25,0,0,0,34.95,4.6,39,67.6,337.17,0,0,0,0,0,13.71,0,0,0,17.67,4.31,21.98,10,0,73.33,0,0,83.33,0,7410.9966,28096.3761,0,0,1831.5934,7
20-Jan,Jan,Wednesday,0,0,0,51.68,141.54,0,0,0,31.91,1.79,38.23,67.53,332.68,0,0,0,0,0,3.1,0,0,0,7.53,2.67,10.2,9.75,8.05,74.1,0,0,91.9,0,3393.336,30573.292,0,0,937.38,2
21-Jan,Jan,Thursday,0,6.43,0,48.32,335.3,0,0,0,37.11,0,36.86,63.84,527.86,0,0,0,0,0,11.99,0,0,0,10.8,4.88,15.68,9.53,20.9,72,0,0,102.43,0,8276.8448,54068.6998,0,0,1606.1024,3
22-Jan,Jan,Friday,0,0,1.26,77.31,270.17,0,0,0,112.02,1.98,83.47,69.32,615.53,0,0,0,0,0,14.62,0,0,0,6.55,0,6.55,10.1,30.81,74.07,0,0,114.98,0,4031.7215,70773.6394,0,0,753.119,7
23-Jan,Jan,Saturday,0,6.08,0,74.37,385.14,0,0,0,110.59,0,112.43,65.73,754.34,0,0,0,0,0,9.57,0,0,0,8.71,4.89,13.6,9.84,32.41,72.6,0,0,114.85,0,10259.024,86635.949,0,0,1561.96,3
24-Jan,Jan,Sunday,0,0,0,80.77,321.28,0,0,0,115.34,7.75,108.02,65.85,699.01,0,0,0,0,0,0,0,0,0,14.81,5.96,20.77,10.24,34.41,85.3,0,0,129.95,0,14518.4377,90836.3495,0,0,2699.0615,3
25-Jan,Jan,Monday,0,25.3,1.99,78.54,331.72,0,0,0,117.68,12.99,160.16,69.76,798.14,0,0,0,0,0,0,0,0,1.63,3.31,0,4.94,9.79,35.82,85.14,0,0,130.75,0,3942.8116,104356.805,0,0,645.905,15
26-Jan,Jan,Tuesday,0,17.7,0,83.48,340.32,0,0,0,117.8,11.73,143.76,63.17,777.96,0,0,0,0,0,2.51,0,0,0,14.59,10.83,25.42,10.24,34.77,85.08,0,0,130.09,0,19775.7432,101204.8164,0,0,3306.8878,10
27-Jan,Jan,Wednesday,0,2.44,3.53,58.67,331.62,0,0,0,113.61,7.42,154.03,41.01,712.33,0,0,0,0,0,0,0,0,0,5.14,6.79,11.93,9.64,0,0,0,0,9.64,0,8498.0969,6866.8612,0,0,115.0052,6
28-Jan,Jan,Thursday,0,0,8.84,88.54,326.66,0,0,0,111.72,15.13,109.43,69.72,730.04,0,0,0,0,0,0,0,0,0,8.72,8.71,17.43,10.03,0,0,0,0,10.03,0,12724.5972,7322.3012,0,0,174.8229,8
29-Jan,Jan,Friday,0,1.9,0,61.19,317.38,0,0,0,108.95,4.98,138.09,61.42,693.91,0,0,0,0,0,0,0,0,0,14.4,10.33,24.73,10.33,0,0,0,0,10.33,0,17160.3943,7168.0903,0,0,255.4609,4
30-Jan,Jan,Saturday,0,0,0,69.8,290.42,0,0,0,99.98,0,121.33,55.43,636.96,0,0,0,0,0,11.16,0,0,0,14.19,9.67,23.86,5.16,0,0,0,0,5.16,0,15197.8656,3286.7136,0,0,123.1176,1
31-Jan,Jan,Sunday,0,0,0,67.02,269.96,0,0,0,93.19,0.01,68.97,55.77,554.92,0,0,0,0,0,19.5,0,0,0,2.62,7.48,10.1,5.18,0,0,0,0,5.18,0,5604.692,2874.4856,0,0,52.318,1
1-Feb,Feb,Monday,0,12.5,2.03,90.7,375.45,0,0,0,133.61,3.06,128.2,80.82,826.37,0,0,0,0,0,3.21,0,0,0,9.53,3.44,12.97,4.97,0,0,0,0,4.97,0,10718.0189,4107.0589,0,0,64.4609,9
2-Feb,Feb,Tuesday,0,7.85,1.58,87.13,365.57,0,0,0,128.44,12.02,149.97,82.05,834.61,0.71,0,0.71,0,0,13.98,0,0,0,6.68,0,6.68,19.97,0,85.76,0,0,105.73,592.5731,5575.1948,88243.3153,4.7428,75.0683,706.2764,12
3-Feb,Feb,Wednesday,0,5.44,0,82.45,358.15,0,0,0,129.08,6.68,141.33,94.38,817.51,1.04,0,1.04,0,0,5.89,0,0,0,12.99,5.13,18.12,33.94,0,84.47,0,0,118.41,850.2104,14813.2812,96801.3591,18.8448,123.1464,2145.5892,17
4-Feb,Feb,Thursday,0,7.11,5.36,87.76,348.76,0,0,0,123.71,4.98,114.88,79.51,772.07,1.02,0,1.02,2.43,0,3.37,0,0,0,4.07,4.2,8.27,33.48,0,76.71,0,0,110.19,787.5114,6385.0189,85074.3933,8.4354,112.3938,911.2713,11
5-Feb,Feb,Friday,0,0,0,94.22,353.3,0,0,0,122.3,0,97.15,86.15,753.12,0.84,0,0.84,0,0,0,0,0,0,7.84,5.32,13.16,34.59,0,84.74,0,0,119.33,632.6208,9911.0592,89869.8096,11.0544,100.2372,1570.3828,5
6-Feb,Feb,Saturday,0,0,2.56,85.75,346.88,0,0,0,129.07,0,132.94,74.75,771.95,0.01,0.02,0.03,0,0,15.69,0,0,0,0,5.03,5.03,35.17,0,84.31,0,0,119.48,23.1585,3882.9085,92232.586,0.1509,3.5844,600.9844,3
7-Feb,Feb,Sunday,0,0,5.41,35.25,353.47,0,0,0,119.7,0,140.41,83.21,737.45,0.84,6.69,7.53,0,0,18.06,0,0,0,17.24,4.28,21.52,34.19,0,74.03,0,0,108.22,5552.9985,15869.924,79806.839,162.0456,814.8966,2328.8944,1
8-Feb,Feb,Monday,0,12.42,0,101.18,378.3,0,0,0,127.21,22.16,109.37,84.88,835.52,0.1,4.64,4.74,0,0,0,0,0,0,16.96,4.69,21.65,34.5,0,73.62,0,0,108.12,3960.3648,18089.008,90336.4224,102.621,512.4888,2340.798,12
9-Feb,Feb,Tuesday,0,16.47,10.24,84.81,353.34,0,0,0,123.17,5.63,123.18,77.1,793.94,2.04,6.52,8.56,0,0,7.71,0,0,0,4.8,5.68,10.48,35.44,0,72.16,0,0,107.6,6796.1264,8320.4912,85427.944,89.7088,921.056,1127.648,5
