,id,public_metrics,text,author_id,name,username
0,1466426056114675728,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","To prove that I'm down with the kids... here's my profile at @TikTok

https://t.co/GDlt7E4vh7

#tiktok #video #livestream #acoustic #guitar #acousticguitar #fingerpicking #fingerstyle #sverige #nature #forest #beauty",832548120038928385,Jon Magnusson | Georg Nielsen & Beyond the Seasons,jonmagnussonof
1,1466425757232730118,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Kids Guitar https://t.co/sBn37EMNvx #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
2,1466425603935150084,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",never loose a pick  -  30 Pieces in Case !!!!  #music #guitar #plectrums #electricguitar #guitarist #acousticguitar #musician #Guitarplayer #Guitarsolo #Fingerstyle #Chords #Strum #StringInstrument #Guitarrist  see  https://t.co/Dt8cUlximG https://t.co/fcMPHbnvZe,1870887362,Wildlife Ranger,wildlife_ranger
3,1466425057337647125,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Guitar Taylor GS Mini-e Koa Plus
https://t.co/TFC0OU3JUq
The #Taylor GS Mini-e Koa Plus is a compact, versatile instrument. It is slightly smaller than the average acoustic but does it certainly not lack power! It is perfect for everyday use or for taking on the road. https://t.co/rnCSL6bk0Z",1453614719454035968,ReviewsGuitar,GuitarReviews7
4,1466425002723577859,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#guitar -based instrumentals
https://t.co/hcRrj3TFNU",311540427,Lexic Task,LexicTask
5,1466424552897097739,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Extending Black Friday to End Year Sale 2021 at up to 63% OFF 🎊

Shop now before its too late👀

Link on bio🌐

.
#kuassa #amplifikation360 #guitarist #ampsim #effects #audioproduction #musicsoftware #musicproduction #audioengineer #musician #guitar https://t.co/XeZlbJ8iKj",67177227,Kuassa Inc.,kuassa
6,1466424425579008011,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Wake Me Up by Avicii has been added! Full version available at https://t.co/Xzd9mfyilE  #Avicii #ukulele #guitar #bass #piano #keyboard #learningmusic .@MusicKeyFinder,1340673267762380809,Music Key Finder - Key Signature Bot,MusicKeyFinder2
7,1466423718759051281,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","❗It's the pack you have been waiting for❗
We are proud to introduce the latest addition to the Two notes Artist Series - the ""Pete Thorn Signature Tones"" collection! Available now in DynIR format, exclusively from Two notes!  😍

https://t.co/HDNkZS5zK5 

 #petethorn #guitar https://t.co/jlON8MiOQP",82619508,Two notes Audio Engineering,twonotesaudio
8,1466423022005403664,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",New #guitar tuning - #GCGCFCE  https://t.co/2HsRYcLbV2 #gtdb,118557160,Guitar Tunings DB,guitardb
9,1466422730195152897,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Maybe it’s time to start producing artists….. 🤔 #mixing #recording #guitar #recordlabels,95505817,Tom Martini🎸😈,distortedvoices
10,1466422175909519364,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",HOHNER MC-05 Classical Acoustic Guitar With Folding Stand And Bag https://t.co/EstwKtxv7V #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
11,1466422171417382914,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Admira Malaga Kellar Acoustic Guitar  6 String - Good Condition with soft case https://t.co/MjVwey1xoz #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
12,1466422010226122767,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Boffin FX Adjustable Treble Bleed Circuit 5 Pack 1,592 Hz Black #guitar https://t.co/ZfMJ2qC7dr",789512536857178112,ehomusic 🎸,ehomusic
13,1466421917796159503,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","Guitar lovers mpo?
#ecamtanzania #guitar https://t.co/k2xNRWQBbk",3541963695,ecamtz_,ecamtz_
14,1466421815752937475,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Best Blues #Guitar Amps https://t.co/dNe7ao4rOf #guitarrepair,1430798329,Guitar Repair Bench,repairguitar
15,1466421375938314260,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","https://t.co/y0lNXabWNI
#Martin have produced a revolutionary new design with the SC13E. It is definitely one to take notice of due to the plethora of player friendly features that this forward thinking model has to offer.
#guitar https://t.co/1sXntmLlbO",1453614719454035968,ReviewsGuitar,GuitarReviews7
16,1466420878908997655,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tanglewood Earth 200 Acoustic Guitar https://t.co/A2fXtHwzUd #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
17,1466420779294330904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations!
@ichiro_lifetime #30thanniversary #blues #guitarist #legend #guitarplayer #vemuram #trisound #clubasia @clubasia 場所: clubasia https://t.co/R6Zz7rqdKx",541389028,Daiya Tezuka,daiya1963
18,1466420718074314765,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","I'm an unapologetic “Boomer Bender“ &amp; proud of it!!
Looking for the perfect holiday gift for a guitar player? Get yours today!
https://t.co/2EanNhSMx1
#boomerbender #guitars #guitarplayer #ifyouknowyouknow https://t.co/arYAS0wKHY",1455828507393658880,Sean Earley Beats,seanearleybeats
19,1466419830861537285,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Lofi &amp; Chill 
Vol 4 Track 10

drop this today on yt
https://t.co/ENUQUfKVac 

#10 #lofi #lofihiphop #beat #jazzy #rnb #chillvibes #chillhop #story #relax #chill #beats #piano #guitar https://t.co/kGJj6VGRbt",3226902258,K!o,kiomusc
20,1466418682343657475,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 16, 'quote_count': 1}","Harmonics shimmer, single notes sing, and power chords ring like a bell with the Reverend Airsonic W. #guitars #electricguitars 
Find out more: https://t.co/0VKwULrYdN https://t.co/HI6Bih4IEY",65762599,Reverend Guitars,ReverendGuitars
21,1466417510249635848,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}","I might actually have too many overdrives.

MXR Timmy
EHX Soul Food
Wampler Clarksdale
Ibanez TS9*
BOSS SD1*
BOSS BD2
Fender Pugilist
ProCo Rat 2
EHX Big Muff Ram's Head
EHX Big Muff Green Russian*
EHX Octavix*

Thinking of selling ones with asterisks.

Thoughts?

#Guitar #Pedals",1370607533551927303,The Negatrons,thenegatrons
22,1466417005150543884,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@killerdwarf7 Fab u lous, nothing so beautiful as a #guitar solo#dimebagdarrell #randyrhoads  #zaccwylde #slash would be proud of that one  Ⓜ️🐚🎸",823259772,TeammichellefootiE (she:her),MBReed1
23,1466416696428744708,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Keith Jarrett plays a solo improvisation at “Molde Jazz Festival” . 
The Sheet Music Library (PDF) is a non-profit project dedicated to the divulgation and education of music. https://t.co/A9NaUSMQay #sheetmusic #piano #guitar #voice",1133300172929286144,Sheet Music Library (PDF),LibrarySheet
24,1466416185902346240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","We've got to say, we love all guitars great and small - but the classic 6-string always knows how to get us inspired! 😍

#gear4music #guitargear #guitars #guitarist https://t.co/JoGr3jCzaw",19333208,Gear4music,gear4music
25,1466416154654744580,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","This music expresses the spiritual world.

ABYSS:Kazunori Okuno
https://t.co/akzkHGQupt

#music #electronicmusic #electronica #ambient #chillout #guitar #piano #musiques #tónlist #ceol #musik #musiikkia #youtube #เพลง #âmnhạc",1277648977333121024,Kazunori Okuno,kazunoriokuno
26,1466415614961106968,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Fender EOB Ed O'Brien Signature Stratocaster in Detailed Guitar Illustration..

#guitarart #guitarillustration #vector #vectorillustration #guitarist #guitarplayer #digitalart #retro #fender #stratocaster #edobrien #radiohead #fenderstratocaster #signature https://t.co/Mq3NrIxqnN",1446895425479270401,Milhad,Milhadart
27,1466415579284267022,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","The Beatles: the 100 most inspiring musicians of all time . 
The Sheet Music Library (PDF) is a non-profit project dedicated to the divulgation and education of music. https://t.co/nMDcX1NG17 #sheetmusic #piano #guitar #voice",1133300172929286144,Sheet Music Library (PDF),LibrarySheet
28,1466415057861029897,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Tomorrow evening @coremusichexham Dean's a fabulous player. @VisitHexham @hexhamtv @ForumCinemaH @OxfamHexham @ForumCinemaH @QueensHall #guitars https://t.co/gHaFehfcUo,70707617,Core Music Hexham,coremusichexham
29,1466414885936504832,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Assaf feeling out 'Faith of Steel'

#recording #guitar #metal #jewishmetal #progressivemetal https://t.co/kReD2XuGg4",1465001495498301442,Sanaegor,SanaegorMetal
30,1466414876256055298,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","Bill Evans (1929-1980) Life and Music . 
The Sheet Music Library (PDF) is a non-profit project dedicated to the divulgation and education of music. https://t.co/Fxlv6qyFk4 #sheetmusic #piano #guitar #voice",1133300172929286144,Sheet Music Library (PDF),LibrarySheet
31,1466414659653750784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","https://t.co/AwwYCP7VU2 "" Pittsville Blues"", by Rick Barr and John Biggs. #music #rock #country #blues #video #youtube #acoustic #guitar",1436050712186822661,Rick Barr,Barr26Pub
32,1466414601097072647,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hollow body guitar Left Handed Unbranded Jazz blues https://t.co/aMaN5hrnL8 #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
33,1466414599486554118,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Taylor GS Mini acoustic guitar compact gig bag &amp; strings inc mint condition https://t.co/xdaLhTHr4f #guitar #riffs #music,3408963556,Music equipment and events from around the world,eventsmasters11
34,1466414367805685762,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Fender Pawn Shop Bass VI: The most unique production model electric you've never played. Check out our full review at https://t.co/zVMgtFYlYa   #guitar https://t.co/QzFjFwtLak,843873742409224192,baritoneguitar.org,BaritoneGuitars
35,1466413840242032656,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",The latest The Rockbrain Daily News! https://t.co/gJNr0nDG3v Thanks to @chestercat43690 @3dpbmPulse #guitar #music,50535855,Rockbrain,rockbrain
36,1466413529146314761,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Guitar tracking nearly complete!
#slt #newmusic #studio #guitar @ Chicago, Illinois https://t.co/vtob6Nee56",1295419009224056832,SLT,SLTbandofficial
37,1466413494069305356,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I'm an unapologetic boomer bender and proud of it.
#guitars #boomerbender #ifyouknowyouknow",39755145,Sean Earley,seanearleyrocks
