,id,public_metrics,text,author_id,name,username
0,1468263877787934722,"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @GuitarWorld: Learn Randy Rhoads' warm-up exercises and more in this complete 1982 guitar clinic https://t.co/AayDhwMVzZ https://t.co/1v…,1446291373712363520,Filip Kotur,FilipKotur
1,1468263294649597955,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Mark Tremonti on finding the right guitar, the economics of Dumble amps and the Goldtop that got away https://t.co/95BHCBPvqm via @GuitarWorld",1172627974958518272,"Feet in sand, Guitar in hand",BeachGuitar1
2,1468263003275808768,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @dinosaurjr: J’s up for @GuitarWorld’s best guitar solo of 2021! voting is open here: https://t.co/zYTiJCf06K,106644278,tomonori takahashi,tremoloepjp
3,1468262335429107717,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @jaytrainerband: @tabora_bernardo thx 4 the RT!✌️

•

#allmanbrothers #AlternativeRock #ElectricBlues #electricguitar #fender #govtmule…",987229976721264640,Bernardo Tabora,tabora_bernardo
4,1468261910470615049,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @BackstageTee: The Three Important Things In Life!! #Guitars  #guitarplayer https://t.co/UPmnHoBhH8,15357384,Mundell Music,mundellmusic
5,1468261759047933955,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @BackstageTee: The Three Important Things In Life!! #Guitars  #guitarplayer https://t.co/UPmnHoBhH8,1306500110818463745,Backstage Tee Shirts,BackstageTee
6,1468261606618542081,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",The Three Important Things In Life!! #Guitars  #guitarplayer https://t.co/UPmnHoBhH8,1306500110818463745,Backstage Tee Shirts,BackstageTee
7,1468259862836617219,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","@tabora_bernardo thx 4 the RT!✌️

•

#allmanbrothers #AlternativeRock #ElectricBlues #electricguitar #fender #govtmule #gratefuldead #guitar #guitarplayer #jimihendrix #LedZeppelin #livemusic #srv #StonerRock #tedeschitrucksband #thedead #TheDoors #vinyl #warrenhaynes #bluesharp",24426431,Jay Trainer Band,jaytrainerband
8,1468259452335714323,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @dinosaurjr: J’s up for @GuitarWorld’s best guitar solo of 2021! voting is open here: https://t.co/zYTiJCf06K,451590961,Mark Moore,tomarrowmark
9,1468258389209886727,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Bar chords suck major a**. Anyone have tips on mini bar chords for someone with small hands? #beginnerguitar #guitarplayer #barrechords #guitar,1305702772151644160,the. almost. book. doctor,Woofles132
10,1468256953902288899,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @dinosaurjr: J’s up for @GuitarWorld’s best guitar solo of 2021! voting is open here: https://t.co/zYTiJCf06K,784219484240355328,anthony🦇,ymustgavindance
11,1468256780845264897,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @BackstageTee: Well? What would KEEF say! Tee Shirt is in the shop! #guitarplayer #music #guitars https://t.co/uVaGyLKJAQ,15357384,Mundell Music,mundellmusic
12,1468256297002815488,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @GTRAddict: How to tune your 18-string guitar.  #guitarist #guitarplayer #guitarist https://t.co/YqVQAPUgdx,28378862,Highline Guitars 🇺🇸,highlineguitars
13,1468256094741008390,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @dinosaurjr: J’s up for @GuitarWorld’s best guitar solo of 2021! voting is open here: https://t.co/zYTiJCf06K,19952303,J Mascis,jmascis
14,1468256012666867716,"{'retweet_count': 7, 'reply_count': 5, 'like_count': 68, 'quote_count': 1}",J’s up for @GuitarWorld’s best guitar solo of 2021! voting is open here: https://t.co/zYTiJCf06K,19952246,Dinosaur Jr,dinosaurjr
